conditions	conditions-href	title	other_names	test	meds	symptom	percent	attr	freq
Open wound of the finger	http://www.symcat.com/conditions/open-wound-of-the-finger	Open wound of the finger	null					1-4 years	0.6x
Postpartum depression	http://www.symcat.com/conditions/postpartum-depression	Postpartum depression	"Also known as Postnatal Depression, Postnatal Blues, and Puerperal Depression"					Other	1.5x
Acne	http://www.symcat.com/conditions/acne	Acne	null					75+ years	0.1x
Breast cancer	http://www.symcat.com/conditions/breast-cancer	Breast cancer	Also known as Cancer Of Breast and Malignant Neoplasm Of Breast					60-74 years	2.3x
Gestational diabetes	http://www.symcat.com/conditions/gestational-diabetes	Gestational diabetes	"Also known as GDM, Gestational Diabetes Mellitus, and Pregnancy Induced Diabetes"					5-14 years	0.0x
Viral warts	http://www.symcat.com/conditions/viral-warts	Viral warts	null			"Skin dryness, peeling, scaliness, or roughness"	11		
Infectious gastroenteritis	http://www.symcat.com/conditions/infectious-gastroenteritis	Infectious gastroenteritis	Also known as Stomach Flu and Gastric Flu		Loperamide (Imodium)				
Pneumonia	http://www.symcat.com/conditions/pneumonia	Pneumonia	null			Weakness	29		
Open wound of the hand	http://www.symcat.com/conditions/open-wound-of-the-hand	Open wound of the hand	null					60-74 years	0.6x
Lung cancer	http://www.symcat.com/conditions/lung-cancer	Lung cancer	Also known as Carcinoma Of Lung and Pulmonary Carcinoma					5-14 years	0.0x
Gastrointestinal hemorrhage	http://www.symcat.com/conditions/gastrointestinal-hemorrhage	Gastrointestinal hemorrhage	"Also known as GI Bleeding, Gi Bleed, Gastrointestinal Bleeding, Gastrointestinal Bleed, and GI Hemorrhage"					45-59 years	1.1x
Spinal stenosis	http://www.symcat.com/conditions/spinal-stenosis	Spinal stenosis	Also known as Spinal Narrowing		Methyl Salicylate-Menthol Topical				
Lymphoma	http://www.symcat.com/conditions/lymphoma	Lymphoma	Also known as Malignant Lymphoma		Vincristine				
Congenital heart defect	http://www.symcat.com/conditions/congenital-heart-defect	Congenital heart defect	"Also known as Cardiac Anomaly, Heart Anomaly, and Heart Malformation"		Haemophilus B Conjugate (Prp-T) Vaccine				
Eczema	http://www.symcat.com/conditions/eczema	Eczema	Also known as Eczematous Dermatitis		Triamcinolone				
Prostate cancer	http://www.symcat.com/conditions/prostate-cancer	Prostate cancer	Also known as Cancer Of The Prostate and Malignant Neoplasm Of Prostate					30-44 years	0.0x
Spinal stenosis	http://www.symcat.com/conditions/spinal-stenosis	Spinal stenosis	Also known as Spinal Narrowing		Moexipril				
Psychotic disorder	http://www.symcat.com/conditions/psychotic-disorder	Psychotic disorder	null		Haloperidol				
Anemia	http://www.symcat.com/conditions/anemia	Anemia	null			Fatigue	32		
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null					Hispanic	0.5x
Idiopathic painful menstruation	http://www.symcat.com/conditions/idiopathic-painful-menstruation	Idiopathic painful menstruation	Also known as Primary Dysmenorrhea	Pelvis exam					
Osteomyelitis	http://www.symcat.com/conditions/osteomyelitis	Osteomyelitis	Also known as Bone Infection			Skin on arm or hand looks infected	5		
Thrombocytopenia	http://www.symcat.com/conditions/thrombocytopenia	Thrombocytopenia	Also known as Reduced Platelet Count	Kidney function tests (Kidney function test)					
Graves disease	http://www.symcat.com/conditions/graves-disease	Graves disease	"Also known as Graves' Disease, Basedow Disease, and Exophthalmic Goiter"	Other diagnostic procedures (interview; evaluation; consultation)					
Osteoporosis	http://www.symcat.com/conditions/osteoporosis	Osteoporosis	null		Teriparatide (Forteo)				
Croup	http://www.symcat.com/conditions/croup	Croup	Also known as Acute Laryngotracheobronchitis		Triprolidine (Actifed)				
Acute bronchospasm	http://www.symcat.com/conditions/acute-bronchospasm	Acute bronchospasm	Also known as Bronchial Spasm					5-14 years	1.6x
Diverticulitis	http://www.symcat.com/conditions/diverticulitis	Diverticulitis	null					1-4 years	0.0x
Stroke	http://www.symcat.com/conditions/stroke	Stroke	"Also known as Cva, Cerebrovascular Accident, and Apoplexy"	Kidney function tests (Kidney function test)					
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null	Wound care management					
Degenerative disc disease	http://www.symcat.com/conditions/degenerative-disc-disease	Degenerative disc disease	Also known as Disk Degeneration and Intervertebral Disc Degeneration					75+ years	1.3x
Dry eye of unknown cause	http://www.symcat.com/conditions/dry-eye-of-unknown-cause	Dry eye of unknown cause	Also known as Dry Eye Syndrome	Lens and cataract procedures					
Carpal tunnel syndrome	http://www.symcat.com/conditions/carpal-tunnel-syndrome	Carpal tunnel syndrome	Also known as Median Nerve Entrapment	Magnetic resonance imaging (Mri)					
Metastatic cancer	http://www.symcat.com/conditions/metastatic-cancer	Metastatic cancer	Also known as Secondary Neoplasm	Glucose measurement (Glucose level)					
Stroke	http://www.symcat.com/conditions/stroke	Stroke	"Also known as Cva, Cerebrovascular Accident, and Apoplexy"	Complete blood count (Cbc)					
Hyperemesis gravidarum	http://www.symcat.com/conditions/hyperemesis-gravidarum	Hyperemesis gravidarum	Also known as Excessive Vomiting In Pregnancy	Standard pregnancy test					
Multiple sclerosis	http://www.symcat.com/conditions/multiple-sclerosis	Multiple sclerosis	"Also known as MS, Disseminated Sclerosis, and Insular Sclerosis"					Other	0.4x
Sciatica	http://www.symcat.com/conditions/sciatica	Sciatica	Also known as Ischia and Sciatic Neuralgia	Physical therapy exercises (Exercises)					
Gastroesophageal reflux disease (GERD)	http://www.symcat.com/conditions/gastroesophageal-reflux-disease-gerd	Gastroesophageal reflux disease (GERD)	Also known as Reflux and GERD		Lansoprazole (Prevacid)				
Tension headache	http://www.symcat.com/conditions/tension-headache	Tension headache	Also known as Stress Headache and Tension Type Headache	Mental health counseling					
Itching of unknown cause	http://www.symcat.com/conditions/itching-of-unknown-cause	Itching of unknown cause	null		Hydrocortisone Topical				
Ovarian cyst	http://www.symcat.com/conditions/ovarian-cyst	Ovarian cyst	Also known as Cyst Of Ovary and Ovary Cyst					Male	0.0x
Acute bronchiolitis	http://www.symcat.com/conditions/acute-bronchiolitis	Acute bronchiolitis	null	Plain x-ray (X ray)					
Human immunodeficiency virus infection (HIV)	http://www.symcat.com/conditions/human-immunodeficiency-virus-infection-hiv	Human immunodeficiency virus infection (HIV)	Also known as HIV Infection		Emtricitabine-Tenofovir				
Marijuana abuse	http://www.symcat.com/conditions/marijuana-abuse	Marijuana abuse	null		Reserpine (Hhr)				
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null					Male	1.2x
Dementia	http://www.symcat.com/conditions/dementia	Dementia	null					Male	0.9x
Ischemic heart disease	http://www.symcat.com/conditions/ischemic-heart-disease	Ischemic heart disease	null			Increased heart rate	5		
Osteoarthritis	http://www.symcat.com/conditions/osteoarthritis	Osteoarthritis	"Also known as Degenerative Joint Disease, Degenerative Arthritis, Osteoarthrosis, Degenerative Arthropathy, and Hypertrophic Arthritis"					Black	0.9x
Idiopathic absence of menstruation	http://www.symcat.com/conditions/idiopathic-absence-of-menstruation	Idiopathic absence of menstruation	null					60-74 years	0.0x
Cholecystitis	http://www.symcat.com/conditions/cholecystitis	Cholecystitis	Also known as Gallbladder Inflammation	Glucose measurement (Glucose level)					
Migraine	http://www.symcat.com/conditions/migraine	Migraine	Also known as Migraine Headaches and Migraine Syndrome					White	1.2x
Metastatic cancer	http://www.symcat.com/conditions/metastatic-cancer	Metastatic cancer	Also known as Secondary Neoplasm			Focal weakness	4		
Rectal disorder	http://www.symcat.com/conditions/rectal-disorder	Rectal disorder	Also known as Rectal Disease		Benzocaine				
Developmental disability	http://www.symcat.com/conditions/developmental-disability	Developmental disability	Also known as Child Development Disorder					Female	0.6x
Attention deficit hyperactivity disorder (ADHD)	http://www.symcat.com/conditions/attention-deficit-hyperactivity-disorder-adhd	Attention deficit hyperactivity disorder (ADHD)	Also known as ADHD and Hyperkinetic Syndrome	Mental health counseling					
Eye alignment disorder	http://www.symcat.com/conditions/eye-alignment-disorder	Eye alignment disorder	null					Other	1.6x
Appendicitis	http://www.symcat.com/conditions/appendicitis	Appendicitis	null					White	1.0x
Acne	http://www.symcat.com/conditions/acne	Acne	null	Other therapeutic procedures					
Oral thrush (yeast infection)	http://www.symcat.com/conditions/oral-thrush-yeast-infection	Oral thrush (yeast infection)	null		Gentian Violet Topical				
Hypothyroidism	http://www.symcat.com/conditions/hypothyroidism	Hypothyroidism	null					45-59 years	1.5x
Chronic obstructive pulmonary disease (COPD)	http://www.symcat.com/conditions/chronic-obstructive-pulmonary-disease-copd	Chronic obstructive pulmonary disease (COPD)	Also known as COPD and Chronic Obstructive Lung Disease			Fever	49		
Social phobia	http://www.symcat.com/conditions/social-phobia	Social phobia	Also known as Social Anxiety Disorder		Alprazolam (Xanax)				
Acute bronchospasm	http://www.symcat.com/conditions/acute-bronchospasm	Acute bronchospasm	Also known as Bronchial Spasm					60-74 years	0.4x
Anemia	http://www.symcat.com/conditions/anemia	Anemia	null					Male	0.7x
Myopia	http://www.symcat.com/conditions/myopia	Myopia	Also known as Nearsightedness		Loteprednol Ophthalmic				
Chronic obstructive pulmonary disease (COPD)	http://www.symcat.com/conditions/chronic-obstructive-pulmonary-disease-copd	Chronic obstructive pulmonary disease (COPD)	Also known as COPD and Chronic Obstructive Lung Disease	Kidney function tests (Kidney function test)					
Parkinson disease	http://www.symcat.com/conditions/parkinson-disease	Parkinson disease	null		Pramipexole (Mirapex)				
Lumbago	http://www.symcat.com/conditions/lumbago	Lumbago	Also known as Chronic Low Back Pain		Iopamidol (Isovue)				
Fibromyalgia	http://www.symcat.com/conditions/fibromyalgia	Fibromyalgia	"Also known as Fibromyalgia Syndrome, Fibromyositis, and Muscular Rheumatism"			Low back pain	39		
Injury to the shoulder	http://www.symcat.com/conditions/injury-to-the-shoulder	Injury to the shoulder	Also known as Shoulder injury		Cisatracurium (Nimbex)				
Sprain or strain	http://www.symcat.com/conditions/sprain-or-strain	Sprain or strain	null					30-44 years	1.5x
Melanoma	http://www.symcat.com/conditions/melanoma	Melanoma	"Also known as Malignant Melanoma, Cutaneous Melanoma, Melanocarcinoma, Melanosarcoma, and Nevocarcinoma"		Sulfacetamide Sodium Topical				
Skin disorder	http://www.symcat.com/conditions/skin-disorder	Skin disorder	"Also known as Skin Disease, Dermatosis, Integumentary Disease, Dermatological Disease, and Dermatological Disorders"		Fluorouracil				
Venous insufficiency	http://www.symcat.com/conditions/venous-insufficiency	Venous insufficiency	null			Skin lesion	63		
Osteoporosis	http://www.symcat.com/conditions/osteoporosis	Osteoporosis	null					White	1.2x
Osteoporosis	http://www.symcat.com/conditions/osteoporosis	Osteoporosis	null		Ergocalciferol				
Marijuana abuse	http://www.symcat.com/conditions/marijuana-abuse	Marijuana abuse	null	Psychotherapy					
Sinus bradycardia	http://www.symcat.com/conditions/sinus-bradycardia	Sinus bradycardia	null					White	1.2x
Iron deficiency anemia	http://www.symcat.com/conditions/iron-deficiency-anemia	Iron deficiency anemia	Also known as Ferropenic Anemia					1-4 years	0.7x
Ganglion cyst	http://www.symcat.com/conditions/ganglion-cyst	Ganglion cyst	Also known as Synovial Cyst and Myxoid Cyst					Black	0.9x
Colorectal cancer	http://www.symcat.com/conditions/colorectal-cancer	Colorectal cancer	Also known as Colon cancer					30-44 years	0.4x
Diverticulosis	http://www.symcat.com/conditions/diverticulosis	Diverticulosis	Also known as Intestinal Diverticulum					45-59 years	1.6x
Smoking or tobacco addiction	http://www.symcat.com/conditions/smoking-or-tobacco-addiction	Smoking or tobacco addiction	Also known as Nicotine Addiction and Nicotine Dependence		Docosanol Topical				
Scar	http://www.symcat.com/conditions/scar	Scar	null		Clindamycin Topical Product				
Vaginal cyst	http://www.symcat.com/conditions/vaginal-cyst	Vaginal cyst	null					45-59 years	0.7x
Colonic polyp	http://www.symcat.com/conditions/colonic-polyp	Colonic polyp	Also known as Colon Polyp and Polyp Of Colon		Fentanyl				
Hyponatremia	http://www.symcat.com/conditions/hyponatremia	Hyponatremia	"Also known as Sodium Deficiency, Sodium Depletion, and Decreased Serum Sodium"			Shortness of breath	44		
Croup	http://www.symcat.com/conditions/croup	Croup	Also known as Acute Laryngotracheobronchitis			Abnormal breathing sounds	10		
Vitamin B12 deficiency	http://www.symcat.com/conditions/vitamin-b12-deficiency	Vitamin B12 deficiency	Also known as Cobalamin Deficiency and Cyanocobalamin Deficiency	Examination of breast					
Ischemic heart disease	http://www.symcat.com/conditions/ischemic-heart-disease	Ischemic heart disease	null	Lipid panel					
Fracture of the vertebra	http://www.symcat.com/conditions/fracture-of-the-vertebra	Fracture of the vertebra	Also known as Spine Fracture and Spinal Fracture					75+ years	3.3x
Peripheral arterial disease	http://www.symcat.com/conditions/peripheral-arterial-disease	Peripheral arterial disease	null					60-74 years	2.7x
Chronic obstructive pulmonary disease (COPD)	http://www.symcat.com/conditions/chronic-obstructive-pulmonary-disease-copd	Chronic obstructive pulmonary disease (COPD)	Also known as COPD and Chronic Obstructive Lung Disease		Benzonatate				
Sensorineural hearing loss	http://www.symcat.com/conditions/sensorineural-hearing-loss	Sensorineural hearing loss	Also known as Sensory Hearing Loss and Sensorineural Deafness		Tiagabine (Gabitril)				
Fibromyalgia	http://www.symcat.com/conditions/fibromyalgia	Fibromyalgia	"Also known as Fibromyalgia Syndrome, Fibromyositis, and Muscular Rheumatism"					5-14 years	0.4x
Alzheimer disease	http://www.symcat.com/conditions/alzheimer-disease	Alzheimer disease	null			Hostile behavior	15		
Nose disorder	http://www.symcat.com/conditions/nose-disorder	Nose disorder	"Also known as Disease Of The Nose, Nose Disease, and Nasal Disorder"		Azelastine Nasal				
Oral thrush (yeast infection)	http://www.symcat.com/conditions/oral-thrush-yeast-infection	Oral thrush (yeast infection)	null		Glycerin Topical				
Open wound of the hand	http://www.symcat.com/conditions/open-wound-of-the-hand	Open wound of the hand	null	Suturing of wound					
Brachial neuritis	http://www.symcat.com/conditions/brachial-neuritis	Brachial neuritis	"Also known as Parsonage Turner Syndrome, Brachial Plexus Neuritis, Neuralgic Amyotrophy, and Shoulder Girdle Syndrome"			Paresthesia	33		
Macular degeneration	http://www.symcat.com/conditions/macular-degeneration	Macular degeneration	Also known as Macula Lutea Degeneration					5-14 years	0.0x
Pulmonary embolism	http://www.symcat.com/conditions/pulmonary-embolism	Pulmonary embolism	Also known as Lung Embolism	X-ray computed tomography (Scan ct)					
Obstructive sleep apnea (OSA)	http://www.symcat.com/conditions/obstructive-sleep-apnea-osa	Obstructive sleep apnea (OSA)	Also known as OSA	Electroencephalogram (EEG) (Eeg)					
